,control,['state']
803,-1,Lane
804,-1,Lane
805,-1,Lane
806,-1,Lane
807,-3,Lane
808,-2,Lane
809,-1,Lane
810,-1,Lane
811,-1,Lane
812,-2,Lane
813,-1,Lane
814,-1,Lane
815,-1,Lane
816,-1,Lane
817,-1,Lane
818,-1,Lane
819,-1,Lane
820,-5,Lane
821,-1,Lane
822,-2,Lane
823,-7,Lane
824,-31,Lane
825,-34,Lane
826,-37,Lane
827,None,Lane
828,None,Lane
829,None,Lane
830,None,Lane
831,None,Lane
832,None,Lane
833,None,Lane
834,None,Lane
835,None,Lane
836,None,Lane
837,None,Lane
838,None,Lane
839,None,Lane
840,None,Lane
841,None,Lane
842,None,Lane
843,None,Lane
844,None,Lane
845,None,Lane
846,None,Lane
847,None,Lane
848,None,Lane
849,None,Lane
850,None,Lane
851,None,Lane
852,None,Lane
853,-33,Lane
854,-28,Lane
855,-20,Lane
856,-19,Lane
857,-20,Lane
858,-20,Lane
859,-19,Lane
860,-20,Lane
861,-20,Lane
862,-19,Lane
863,-19,Lane
864,-19,Lane
865,-19,Lane
866,-19,Lane
867,-18,Lane
868,-19,Lane
869,-20,Lane
870,-20,Lane
871,-18,Lane
872,-19,Lane
873,-18,Lane
874,-19,Lane
875,-19,Lane
876,-17,Lane
877,-18,Lane
878,-17,Lane
879,-20,Lane
880,-20,Lane
881,-19,Lane
882,-24,Lane
883,-32,Lane
884,-32,Lane
885,-37,Lane
886,None,Lane
887,None,Lane
888,None,Lane
889,None,Lane
890,None,Lane
891,None,Lane
892,None,Lane
893,None,Lane
894,None,Lane
895,None,Lane
896,None,Lane
897,None,Lane
898,None,Lane
899,None,Lane
900,None,Lane
901,None,Lane
902,None,Lane
903,None,Lane
904,None,Lane
905,None,Lane
906,None,Lane
907,-33,Lane
908,-8,Lane
909,None,Lane
910,None,Lane
911,None,Lane
912,None,Lane
913,None,Lane
914,None,Lane
915,None,Lane
916,None,Lane
917,None,Lane
918,-16,Lane
919,-15,Lane
920,0,Lane
921,11,Lane
922,-21,Lane
923,-8,Lane
924,1,Lane
925,1,Lane
926,2,Lane
927,6,Lane
928,14,Lane
929,19,Lane
930,38,Lane
931,None,Lane
932,None,Lane
933,None,Lane
934,None,Lane
935,None,Lane
936,None,Lane
937,None,Lane
938,-32,Lane
939,-11,Lane
940,0,Lane
941,-3,Lane
942,-9,Lane
